file_path,guideline_number,guideline,evidence_type,line,evidence
core/bindings/bindings.cpp,10,C++ code must match the .clang expectation,clang_format,118,clang-format --dry-run --Werror reported formatting violations
core/common/json.hpp,10,C++ code must match the .clang expectation,clang_format,352,clang-format --dry-run --Werror reported formatting violations
core/common/json.hpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,673 lines
core/common/logging.hpp,10,C++ code must match the .clang expectation,clang_format,39,clang-format --dry-run --Werror reported formatting violations
core/common/logging.hpp,11,Chrono semantics: never use steady_clock as a persisted/cross-process timestamp,steady_clock_timestamp,18,steady_clock::now().time_since_epoch() used as integer timestamp
core/common/symbol_mapper.hpp,10,C++ code must match the .clang expectation,clang_format,43,clang-format --dry-run --Werror reported formatting violations
core/engine/feed_bootstrap.hpp,10,C++ code must match the .clang expectation,clang_format,16,clang-format --dry-run --Werror reported formatting violations
core/engine/trading_engine_main.cpp,5,Never mock data — always use real data and real implementation,mock_endpoint,267,shadow mode uses mock:// venue endpoint
core/engine/trading_engine_main.cpp,5,Never mock data — always use real data and real implementation,mock_endpoint,269,shadow mode uses mock:// venue endpoint
core/engine/trading_engine_main.cpp,5,Never mock data — always use real data and real implementation,mock_endpoint,271,shadow mode uses mock:// venue endpoint
core/engine/trading_engine_main.cpp,5,Never mock data — always use real data and real implementation,mock_endpoint,274,shadow mode uses mock:// venue endpoint
core/engine/trading_engine_main.cpp,10,C++ code must match the .clang expectation,clang_format,1,clang-format --dry-run --Werror reported formatting violations
core/engine/trading_engine_main.cpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,605 lines
core/execution/binance/binance_connector.cpp,10,C++ code must match the .clang expectation,clang_format,30,clang-format --dry-run --Werror reported formatting violations
core/execution/binance/binance_connector.hpp,10,C++ code must match the .clang expectation,clang_format,24,clang-format --dry-run --Werror reported formatting violations
core/execution/coinbase/coinbase_connector.cpp,10,C++ code must match the .clang expectation,clang_format,50,clang-format --dry-run --Werror reported formatting violations
core/execution/coinbase/coinbase_connector.hpp,10,C++ code must match the .clang expectation,clang_format,24,clang-format --dry-run --Werror reported formatting violations
core/execution/common/exchange_connector.hpp,10,C++ code must match the .clang expectation,clang_format,1,clang-format --dry-run --Werror reported formatting violations
core/execution/common/idempotency_journal.hpp,10,C++ code must match the .clang expectation,clang_format,243,clang-format --dry-run --Werror reported formatting violations
core/execution/common/live_connector_base.hpp,10,C++ code must match the .clang expectation,clang_format,10,clang-format --dry-run --Werror reported formatting violations
core/execution/common/live_connector_base.hpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,596 lines
core/execution/common/order_manager.hpp,10,C++ code must match the .clang expectation,clang_format,14,clang-format --dry-run --Werror reported formatting violations
core/execution/common/reconciliation_service.hpp,10,C++ code must match the .clang expectation,clang_format,672,clang-format --dry-run --Werror reported formatting violations
core/execution/common/reconciliation_service.hpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,672 lines
core/execution/common/reconciliation_types.hpp,10,C++ code must match the .clang expectation,clang_format,86,clang-format --dry-run --Werror reported formatting violations
core/execution/common/venue_order_map.hpp,10,C++ code must match the .clang expectation,clang_format,100,clang-format --dry-run --Werror reported formatting violations
core/execution/kraken/kraken_connector.cpp,10,C++ code must match the .clang expectation,clang_format,175,clang-format --dry-run --Werror reported formatting violations
core/execution/kraken/kraken_connector.hpp,10,C++ code must match the .clang expectation,clang_format,24,clang-format --dry-run --Werror reported formatting violations
core/execution/market_maker.hpp,10,C++ code must match the .clang expectation,clang_format,339,clang-format --dry-run --Werror reported formatting violations
core/execution/okx/okx_connector.cpp,10,C++ code must match the .clang expectation,clang_format,59,clang-format --dry-run --Werror reported formatting violations
core/execution/okx/okx_connector.hpp,10,C++ code must match the .clang expectation,clang_format,25,clang-format --dry-run --Werror reported formatting violations
core/execution/router/smart_order_router.cpp,10,C++ code must match the .clang expectation,clang_format,33,clang-format --dry-run --Werror reported formatting violations
core/execution/router/smart_order_router.hpp,10,C++ code must match the .clang expectation,clang_format,68,clang-format --dry-run --Werror reported formatting violations
core/feeds/binance/binance_feed_handler.cpp,10,C++ code must match the .clang expectation,clang_format,50,clang-format --dry-run --Werror reported formatting violations
core/feeds/binance/binance_feed_handler.cpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,686 lines
core/feeds/binance/binance_feed_handler.hpp,10,C++ code must match the .clang expectation,clang_format,125,clang-format --dry-run --Werror reported formatting violations
core/feeds/coinbase/coinbase_feed_handler.cpp,10,C++ code must match the .clang expectation,clang_format,1,clang-format --dry-run --Werror reported formatting violations
core/feeds/coinbase/coinbase_feed_handler.cpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,904 lines
core/feeds/coinbase/coinbase_feed_handler.hpp,10,C++ code must match the .clang expectation,clang_format,32,clang-format --dry-run --Werror reported formatting violations
core/feeds/common/book_manager.hpp,10,C++ code must match the .clang expectation,clang_format,3,clang-format --dry-run --Werror reported formatting violations
core/feeds/common/book_manager.hpp,11,Chrono semantics: never use steady_clock as a persisted/cross-process timestamp,steady_clock_timestamp,108,steady_clock::now().time_since_epoch() used as integer timestamp
core/feeds/common/tick_size.hpp,10,C++ code must match the .clang expectation,clang_format,33,clang-format --dry-run --Werror reported formatting violations
core/feeds/kraken/kraken_feed_handler.cpp,10,C++ code must match the .clang expectation,clang_format,44,clang-format --dry-run --Werror reported formatting violations
core/feeds/kraken/kraken_feed_handler.cpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,724 lines
core/feeds/kraken/kraken_feed_handler.hpp,10,C++ code must match the .clang expectation,clang_format,127,clang-format --dry-run --Werror reported formatting violations
core/feeds/okx/okx_feed_handler.cpp,10,C++ code must match the .clang expectation,clang_format,40,clang-format --dry-run --Werror reported formatting violations
core/feeds/okx/okx_feed_handler.cpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,699 lines
core/feeds/okx/okx_feed_handler.hpp,10,C++ code must match the .clang expectation,clang_format,119,clang-format --dry-run --Werror reported formatting violations
core/ipc/alpha_signal.hpp,10,C++ code must match the .clang expectation,clang_format,22,clang-format --dry-run --Werror reported formatting violations
core/ipc/regime_signal.hpp,10,C++ code must match the .clang expectation,clang_format,25,clang-format --dry-run --Werror reported formatting violations
core/orderbook/orderbook.hpp,10,C++ code must match the .clang expectation,clang_format,31,clang-format --dry-run --Werror reported formatting violations
core/risk/circuit_breaker.hpp,11,Chrono semantics: never use steady_clock as a persisted/cross-process timestamp,steady_clock_timestamp,219,steady_clock::now().time_since_epoch() used as integer timestamp
core/risk/kill_switch.hpp,11,Chrono semantics: never use steady_clock as a persisted/cross-process timestamp,steady_clock_timestamp,78,steady_clock::now().time_since_epoch() used as integer timestamp
core/shadow/shadow_engine.hpp,10,C++ code must match the .clang expectation,clang_format,454,clang-format --dry-run --Werror reported formatting violations
core/shadow/shadow_engine.hpp,12,Files should not exceed 500 lines (user-requested threshold),line_count,,518 lines
deploy/daily_train.py,12,Files should not exceed 500 lines (user-requested threshold),line_count,,542 lines
deploy/run_shadow.sh,12,Files should not exceed 500 lines (user-requested threshold),line_count,,556 lines
logs/neural_alpha_shadow.jsonl,12,Files should not exceed 500 lines (user-requested threshold),line_count,,564 lines
models/solusdt_logs.txt,12,Files should not exceed 500 lines (user-requested threshold),line_count,,671 lines
research/neural_alpha/pipeline.py,12,Files should not exceed 500 lines (user-requested threshold),line_count,,811 lines
research/neural_alpha/runtime/shadow_session.py,12,Files should not exceed 500 lines (user-requested threshold),line_count,,909 lines
